"createAt","temperature","ON/OFF"
1.0,20.5,"ON"
2.0,20.5,"OFF"
3.0,20.5,"OFF"
4.0,20.5,"OFF"
5.0,20.5,"OFF"
6.0,20.54,"OFF"
7.0,20.6,"OFF"
8.0,20.655,"OFF"
9.0,20.705,"OFF"
10.0,20.75,"OFF"
11.0,20.79,"OFF"
12.0,20.825,"OFF"
13.0,20.855,"OFF"
14.0,20.88,"OFF"
15.0,20.9,"OFF"
16.0,20.915,"OFF"
17.0,20.925,"OFF"
18.0,20.93,"OFF"
19.0,20.93,"OFF"
20.0,20.925,"OFF"
21.0,20.915,"OFF"
22.0,20.9,"OFF"
23.0,20.88,"OFF"
24.0,20.855,"OFF"
25.0,20.825,"OFF"
26.0,20.79,"OFF"
27.0,20.75,"OFF"
28.0,20.705,"OFF"
29.0,20.66,"OFF"
30.0,20.615,"OFF"
31.0,20.57,"OFF"
32.0,20.525,"OFF"
33.0,20.48,"OFF"
34.0,20.435,"OFF"
35.0,20.39,"OFF"
36.0,20.345,"OFF"
37.0,20.3,"OFF"
38.0,20.255,"OFF"
39.0,20.21,"OFF"
40.0,20.165,"OFF"
41.0,20.12,"OFF"
42.0,20.075,"OFF"
43.0,20.03,"OFF"
44.0,19.985,"OFF"
45.0,19.94,"OFF"
46.0,19.895,"OFF"
47.0,19.85,"ON"
48.0,19.805,"ON"
49.0,19.76,"ON"
50.0,19.715,"ON"
51.0,19.67,"ON"
52.0,19.625,"ON"
53.0,19.6,"ON"
54.0,19.595,"ON"
55.0,19.61,"ON"
56.0,19.645,"ON"
57.0,19.7,"ON"
58.0,19.775,"ON"
59.0,19.85,"ON"
60.0,19.925,"ON"
61.0,20.0,"ON"
62.0,20.075,"ON"
63.0,20.15,"ON"
64.0,20.225,"OFF"
65.0,20.3,"OFF"
66.0,20.375,"OFF"
67.0,20.45,"OFF"
68.0,20.525,"OFF"
69.0,20.6,"OFF"
70.0,20.67,"OFF"
71.0,20.735,"OFF"
72.0,20.795,"OFF"
73.0,20.85,"OFF"
74.0,20.9,"OFF"
75.0,20.945,"OFF"
76.0,20.985,"OFF"
77.0,21.02,"OFF"
78.0,21.05,"OFF"
79.0,21.075,"OFF"
80.0,21.095,"OFF"
81.0,21.11,"OFF"
82.0,21.12,"OFF"
83.0,21.125,"OFF"
84.0,21.125,"OFF"
85.0,21.12,"OFF"
86.0,21.11,"OFF"
87.0,21.095,"OFF"
88.0,21.075,"OFF"
89.0,21.05,"OFF"
90.0,21.02,"OFF"
91.0,20.985,"OFF"
92.0,20.945,"OFF"
93.0,20.9,"OFF"
94.0,20.855,"OFF"
95.0,20.81,"OFF"
96.0,20.765,"OFF"
97.0,20.72,"OFF"
98.0,20.675,"OFF"
99.0,20.63,"OFF"
100.0,20.585,"OFF"
101.0,20.54,"OFF"
102.0,20.495,"OFF"
103.0,20.45,"OFF"
104.0,20.405,"OFF"
105.0,20.36,"OFF"
106.0,20.315,"OFF"
107.0,20.27,"OFF"
108.0,20.225,"OFF"
109.0,20.18,"OFF"
110.0,20.135,"OFF"
111.0,20.09,"OFF"
112.0,20.045,"OFF"
113.0,20.0,"OFF"
114.0,19.955,"OFF"
115.0,19.91,"OFF"
116.0,19.865,"OFF"
117.0,19.82,"ON"
118.0,19.775,"ON"
119.0,19.73,"ON"
120.0,19.685,"ON"
121.0,19.64,"ON"
122.0,19.595,"ON"
123.0,19.57,"ON"
124.0,19.565,"ON"
125.0,19.58,"ON"
126.0,19.615,"ON"
127.0,19.67,"ON"
128.0,19.745,"ON"
129.0,19.82,"ON"
130.0,19.895,"ON"
131.0,19.97,"ON"
132.0,20.045,"ON"
133.0,20.12,"ON"
134.0,20.195,"OFF"
135.0,20.27,"OFF"
136.0,20.345,"OFF"
137.0,20.42,"OFF"
138.0,20.495,"OFF"
139.0,20.57,"OFF"
140.0,20.64,"OFF"
141.0,20.705,"OFF"
142.0,20.765,"OFF"
143.0,20.82,"OFF"
144.0,20.87,"OFF"
145.0,20.915,"OFF"
146.0,20.955,"OFF"
147.0,20.99,"OFF"
148.0,21.02,"OFF"
149.0,21.045,"OFF"
150.0,21.065,"OFF"
151.0,21.08,"OFF"
152.0,21.09,"OFF"
153.0,21.095,"OFF"
154.0,21.095,"OFF"
155.0,21.09,"OFF"
156.0,21.08,"OFF"
157.0,21.065,"OFF"
158.0,21.045,"OFF"
159.0,21.02,"OFF"
160.0,20.99,"OFF"
161.0,20.955,"OFF"
162.0,20.915,"OFF"
163.0,20.87,"OFF"
164.0,20.825,"OFF"
165.0,20.78,"OFF"
166.0,20.735,"OFF"
167.0,20.69,"OFF"
168.0,20.645,"OFF"
169.0,20.6,"OFF"
170.0,20.555,"OFF"
171.0,20.51,"OFF"
172.0,20.465,"OFF"
173.0,20.42,"OFF"
174.0,20.375,"OFF"
175.0,20.33,"OFF"
176.0,20.285,"OFF"
177.0,20.24,"OFF"
178.0,20.195,"OFF"
179.0,20.15,"OFF"
180.0,20.105,"OFF"
181.0,20.06,"OFF"
182.0,20.015,"OFF"
183.0,19.97,"OFF"
184.0,19.925,"OFF"
185.0,19.88,"OFF"
186.0,19.835,"ON"
187.0,19.79,"ON"
188.0,19.745,"ON"
189.0,19.7,"ON"
190.0,19.655,"ON"
191.0,19.61,"ON"
192.0,19.585,"ON"
193.0,19.58,"ON"
194.0,19.595,"ON"
195.0,19.63,"ON"
196.0,19.685,"ON"
197.0,19.76,"ON"
198.0,19.835,"ON"
199.0,19.91,"ON"
200.0,19.985,"ON"
201.0,20.06,"ON"
202.0,20.135,"ON"
203.0,20.21,"OFF"
204.0,20.285,"OFF"
205.0,20.36,"OFF"
206.0,20.435,"OFF"
207.0,20.51,"OFF"
208.0,20.585,"OFF"
209.0,20.655,"OFF"
210.0,20.72,"OFF"
211.0,20.78,"OFF"
212.0,20.835,"OFF"
213.0,20.885,"OFF"
214.0,20.93,"OFF"
215.0,20.97,"OFF"
216.0,21.005,"OFF"
217.0,21.035,"OFF"
218.0,21.06,"OFF"
219.0,21.08,"OFF"
220.0,21.095,"OFF"
221.0,21.105,"OFF"
222.0,21.11,"OFF"
223.0,21.11,"OFF"
224.0,21.105,"OFF"
225.0,21.095,"OFF"
226.0,21.08,"OFF"
227.0,21.06,"OFF"
228.0,21.035,"OFF"
229.0,21.005,"OFF"
230.0,20.97,"OFF"
231.0,20.93,"OFF"
232.0,20.885,"OFF"
233.0,20.84,"OFF"
234.0,20.795,"OFF"
235.0,20.75,"OFF"
236.0,20.705,"OFF"
237.0,20.66,"OFF"
238.0,20.615,"OFF"
239.0,20.57,"OFF"
240.0,20.525,"OFF"
241.0,20.48,"OFF"
242.0,20.435,"OFF"
243.0,20.39,"OFF"
244.0,20.345,"OFF"
245.0,20.3,"OFF"
246.0,20.255,"OFF"
247.0,20.21,"OFF"
248.0,20.165,"OFF"
249.0,20.12,"OFF"
250.0,20.075,"OFF"
251.0,20.03,"OFF"
252.0,19.985,"OFF"
253.0,19.94,"OFF"
254.0,19.895,"OFF"
255.0,19.85,"ON"
256.0,19.805,"ON"
257.0,19.76,"ON"
258.0,19.715,"ON"
259.0,19.67,"ON"
260.0,19.625,"ON"
261.0,19.6,"ON"
262.0,19.595,"ON"
263.0,19.61,"ON"
264.0,19.645,"ON"
265.0,19.7,"ON"
266.0,19.775,"ON"
267.0,19.85,"ON"
268.0,19.925,"ON"
269.0,20.0,"ON"
270.0,20.075,"ON"
271.0,20.15,"ON"
272.0,20.225,"OFF"
273.0,20.3,"OFF"
274.0,20.375,"OFF"
